ano;mes;CISP4 (Praça da República);CISP5 (Mem de Sá);CISP6 (Cidade Nova);CISP7 (Santa Teresa);CISP9 (Catete);CISP10 (Botafogo);CISP11 (Rocinha);CISP12 (Copacaba);CISP13 (Ipanema);CISP14 (Leblon);CISP15 (Gávea);CISP16 (Barra da Tijuca);CISP17 (São Cristovão);CISP18 (Praça da Bandeira);CISP19 (Tijuca);CISP20 (Vila Isabel);CISP21 (Bonsucesso);CISP22 (Penha);CISP23 (Méier);CISP24 (Piedade);CISP25 (Engenho Novo);CISP26 (Todos os Santos);CISP27 (Vicente de Carvalho);CISP28 (Praça de Seca);CISP29 (Madureira);CISP30 (Marechal Hermes);CISP31 (Ricardo de Albuquerque);CISP32 (Taquara);CISP33 (Realengo);CISP34 (Bangu);CISP35 (Campo Grande);CISP36 (Santa Cruz);CISP37 (Ilha do governador);CISP38 (Brás de Pina);CISP39 (Pavuna);CISP40 (Honório Gurgel);CISP41 (Tanque);CISP42 (Recreio dos Bandeirantes);CISP43 (Guaratiba);CISP44 (Inhaúma);CISP45 (Complexo do Alemão);CISP48 (Seropédica);CISP50 (Itaguaí);CISP51 (Paracambi);CISP52 (Nova Iguaçu);CISP53 (Mesquita);CISP54 (Belford Roxo);CISP55 (Queimados);CISP56 (Comendador Soares);CISP57 (Nilópolis);CISP58 (Posse);CISP59 (Duque de Caxias);CISP60 (Campos Elíseos);CISP61 (Xerém);CISP62 (Imbariê);CISP63 (Japeri);CISP64 (São João de Meriti);CISP65 (Magé);CISP66 (Piabetá);CISP67 (Guapimirim);CISP70 (Tanguá);CISP71 (Itaborí);CISP72 (São Gonçalo);CISP73 (Neves);CISP74 (Alcântara);CISP75 (Rio do Ouro);CISP76 (Niterói);CISP77 (Icaraí);CISP78 (Fonseca);CISP79 (Juruba);CISP81 (Itaipu);CISP82 (Maricá);CISP88 (Barra do Piraí);CISP89 (Resende);CISP90 (Barra Mansa);CISP91 (Valença);CISP92 (Rio das Flores);CISP93 (Volta Redonda);CISP94 (Piraí);CISP95 (Vassouras);CISP96 (Miguel Pereira);CISP97 (Mendes);CISP98 (Engenheiro Paulo de Frontin);CISP99 (Itatiaia);CISP100 (Porto Real);CISP101 (Pinheiral);CISP104 (São José do Vale do Rio Preto);CISP105 (Petrópolis);CISP106 (Itaipava);CISP107 (Paraíba do Sul);CISP108 (Três Rios);CISP109 (Sapucaia);CISP110 (Teresópolis);CISP111 (Sumidouro);CISP112 (Carmo);CISP118 (Araruma);CISP119 (Rio Bonito);CISP120 (Silva Jardim);CISP121 (Casimiro de Abreu);CISP122 (Conceição de Macabu);CISP123 (Macaé);CISP124 (Saquarema);CISP125 (São Pedro da Aldeia);CISP126 (Cabo Frio);CISP127 (Armação de Búzios);CISP128 (Rio das Ostras);CISP129 (Iguaba Grande);CISP130 (Quissamã);CISP132 (Arraial do cabo);CISP134 (Campos);CISP135 (Itaocara);CISP136 (Santo Antônio de Pádua);CISP137 (Miracema);CISP138 (Laje do Muriaé);CISP139 (Porciúncula);CISP140 (Natividade);CISP141 (São Fidelis);CISP142 (Cambuci);CISP143 (Itaperuna);CISP144 (Bom Jesus do Itabapoana);CISP145 (São João da Barra);CISP146 (Guarus);CISP147 (São Francisco de Itabapoana);CISP148 (Italva);CISP151 (Nova Friburgo);CISP152 (Duas Barras);CISP153 (Cantagalo);CISP154 (Cordeiro);CISP155 (São Sebastião do Alto);CISP156 (Santa Maria Madalena);CISP157 (Trajano de Moraes);CISP158 (Bom jardim);CISP159 (Cachoeira de Macacu);CISP165 (Mangaratiba);CISP166 (Angra dos Reis);CISP167 (Paraty);CISP168 (Claro)
2003;1;0.012397172810728116;0.05178671481498592;0.029052597555945817;0.009553060814599203;0.0;0.0;;0.004262404529241385;0.0;0.0;0.0;0.0012843884761079038;0.03894872158105785;0.00577338322335528;0.016834341235827815;0.01191582007884229;0.03377403934284924;0.01630616364947902;0.055100284787746055;0.04030379976772204;0.030087479676045702;0.0;0.004116063929379273;0.006810394042984035;0.007463180956291174;0.01243065922909451;0.0049390400143310585;0.010594111262778667;0.016088861793181752;0.01278764581077665;0.006167047309773458;0.008772876405244805;0.018392112412491623;0.026217293534076366;0.03546407341602968;0.028031254499551468;0.005465172703592139;;;0.03296102262765769;;0.005408704881761992;0.0;0.017567035058345174;0.029827536848786033;0.002196649980857044;0.005836364069094816;0.003484270600520695;0.004295321912439993;0.009553307931905184;0.005409940878272017;0.01688020047314203;0.008404719465455738;0.006568695694494969;0.010076444790908586;;0.006539993147332697;0.00910531997119306;0.0;;;0.016646838555228086;0.005832798106518856;0.0024109030840792156;0.0036876784545953776;0.002989434737464206;0.005054149772571753;0.0;0.009198606297384485;0.005300948456725237;0.0;0.0;0.0;0.006828548042038526;0.0021410371381373663;0.0;0.0;0.0015018290500170412;0.017039784900066465;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.003005564781011675;0.0;0.009643360525147937;0.008067891733167099;0.021411860971219304;0.0;0.0;0.0;0.004134796771441261;0.021682982055595663;0.0;0.029651688320480978;0.019073066055445467;0.008545471496487874;0.012905553720112194;0.0;0.0;0.0;0.007748883299026239;0.022055047956499884;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018915397043268454;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013478532044948562;0.002835515973984342;0.0;0.0
2003;2;0.022384556811407236;0.0;0.008742940959004696;0.008624512123762258;0.007758009836039946;0.006838094424997319;;0.0;0.0;0.0;0.002379421795069138;0.005797815018639918;0.026372572749442914;0.026061635029654046;0.017731219546961052;0.01290932036225915;0.04109731159844312;0.019137793544292677;0.09183652809293444;0.04730284819438378;0.019014316330434884;0.0;0.0092900716460412;0.006148475498577021;0.00673783478058848;0.005611245460969923;0.0;0.011477361079823951;0.011620154973268234;0.022265021500911357;0.003979257670373736;0.012446117548146653;0.0249068537575054;0.03550377102690816;0.040021667655794776;0.02530692079953875;0.0024670070098835317;;;0.02678186559421111;;0.03902968510587049;0.007557009343366574;0.0;0.040405093234763566;0.001984396480015817;0.0022581772014233187;0.014149148240286184;0.0025860133008996674;0.002157145710322567;0.0009771224014492041;0.02437899626083856;0.005057653273235543;0.0;0.013643192401881866;;0.008860684816243608;0.005475952614964247;0.005116916435904377;;;0.009011523399960903;0.006317007150708501;0.0;0.0033281854973426757;0.001349005430281984;0.018254373835371124;0.002406678547437506;0.011074324166286134;0.004786460080564957;0.0;0.0;0.0;0.0;0.0058005904432735875;0.0;0.0;0.0;0.023058305825946448;0.010364096393265795;0.0;0.0;0.0;0.01296811237204568;0.0;;0.0;0.0;0.0;0.0;0.018209290852287917;0.0;0.002311918362649725;0.0;0.021093167288083654;0.00745160313125364;0.013046461120172811;0.01567297538383141;0.0;0.0;0.007691018793446617;0.0;0.004845127390691401;0.0;0.0;0.0;0.0;;;0.0062536668877670905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005508728402939356;0.0;0.0;0.0;;;0.0018997627051801317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005107907297476429;0.0;0.0
2003;3;0.0;0.012457842377665498;0.03494420871837002;0.0;0.0034452646756476853;0.0;;0.0;0.0;0.0;0.0;0.0015448548424732327;0.040991537023013155;0.006944212845905691;0.02024810564360437;0.014332251313687892;0.01589599315823494;0.04707099281936169;0.04588199758271884;0.033934137201594536;0.02171339222636313;0.0;0.01237692883806535;0.002730492286619274;0.008976636330136003;0.007475752392090321;0.0;0.007645509825135175;0.013546074913838482;0.016479469243432476;0.005412848422632536;0.0030148372065277105;0.019909621730903097;0.029281478309234523;0.026659906646091767;0.04635917120777711;0.009860183898540832;;;0.0237872421172193;;0.019482101734617834;0.005025080652665389;0.0;0.015384815525397973;0.007936178348315238;0.006016962931223409;0.008374306546492759;0.005169478738778135;0.002875159272935043;0.005208749236639539;0.013530644926346496;0.00673694724388118;0.0;0.0060577196013104195;;0.005905187816637527;0.014579631667852115;0.003407885011090272;;;0.02799558690739947;0.0042066176293368415;0.008693703842209022;0.0022162918875006906;0.003593316113392743;0.01824247933093038;0.006413593594154317;0.003689015879828589;0.0063777264700366175;0.0;0.0050584569816369855;0.004934431176970506;0.008205026815123759;0.005153495919302164;0.0;0.0;0.009033905612194436;0.03069707285302047;0.0;0.0;0.0;0.0;0.017265911823269163;0.01822155305696315;;0.0;0.0;0.0;0.0;0.004851858716782084;0.02577778419887641;0.00307765153040088;0.0;0.0;0.0;0.0173765388563609;0.04178793522501185;0.01771356440190424;0.0;0.005107395644036053;0.0;0.0;0.00806633940708779;0.0;0.0;0.0;;;0.0033311106094024386;0.0;0.009315918324516967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.002531575047768577;0.0;0.0;0.0;0.0;0.0;0.0;0.01905775510186878;0.0;0.0;0.0033945939916458453;0.0;0.0
2003;4;0.013313040541968604;0.011122584214307542;0.031198894569753086;0.0;0.0;0.0;;0.004577340149709557;0.0;0.0;0.002830300093709351;0.0013792858444016459;0.04182622029248425;0.012399885194449586;0.00602599819618042;0.005118500612592095;0.02365392021526333;0.028017473875577042;0.036412767107091584;0.01731259363909667;0.025848386472996383;0.0;0.008840360664463448;0.0024378463075704435;0.00801456909288483;0.01001178307130844;0.0026519636468100493;0.00910147156737013;0.0034555103729939775;0.00882798166736666;0.004229363298617053;0.005383457189972083;0.011850592629245269;0.01809912945308308;0.028563181635429192;0.030102315020209044;0.0029344749688435547;;;0.03893583170719057;;0.017378784470258056;0.004478543810650297;0.028243252616116068;0.02519016996483037;0.009453333279157261;0.0062673900689788654;0.01494691227670904;0.0;0.0;0.0011629735068417774;0.020533109586403902;0.009020734206364206;0.0;0.00540750552592658;;0.0052747665891647805;0.003251725241461701;0.009126190194215364;;;0.008921091153232683;0.0075090816863575055;0.010345882809283122;0.003956234683819658;0.0;0.010859790952490112;0.0;0.013176407111439886;0.01139007971840099;0.0;0.0134990766662712;0.0;0.0;0.0023012754090598487;0.0;0.0;0.0;0.05477349521760796;0.01232526818623831;0.0;0.0;0.0;0.030811020126091337;0.0;;0.0;0.001615589839626497;0.0;0.0;0.012995486303877845;0.04605137869341565;0.0;0.0;0.0;0.0;0.007754768170494476;0.018665648302148483;0.03152479837011678;0.020458980591913135;0.01136466997643682;0.0;0.017215397192080335;0.002395056966331157;0.0;0.0;0.0234801347902935;;;0.0044590939508718;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007937878482083521;0.0;0.0;0.0;0.0
2003;5;0.021504724455439238;0.008983161303935162;0.012598934832202842;0.01657146065449205;0.0024843537516580734;0.003284680259937751;;0.003696929110944398;0.0;0.003819248475215554;0.0022858997194897188;0.0;0.054894747515548716;0.005007407498605576;0.0073004012524569015;0.006200978050342251;0.017830652431597677;0.012728551904931992;0.04043764584996641;0.02796538836711036;0.039143425140754536;0.0;0.0035699958343911975;0.003937902601434413;0.02265559057106378;0.008086066633758226;0.0021418808255445855;0.010107444470836812;0.0027908577785866616;0.015052203643157363;0.004650191964190272;0.01521793968805716;0.014356815124125318;0.04060537573124238;0.013456995474554725;0.030390473018612463;0.004740101853102686;;;0.02001166520120644;;0.028047517384433746;0.0;0.015197465762432227;0.012950731976284002;0.0;0.005061846503857378;0.006033330520667984;0.0024866141175752103;0.004150173503836053;0.0009395646699779225;0.010728685875589795;0.010926507325385307;0.005693088628948077;0.006549931677675495;;0.0007103641305060217;0.015745399659710595;0.0024564561060902643;;;0.012960928704017953;0.0020209250974218417;0.0;0.003194227357703815;0.0012947121754171807;0.02193031921254058;0.0;0.0026608724317076895;0.0;0.0;0.007241629277101684;0.0;0.005910677249299641;0.0018591984385183048;0.0;0.0;0.0026063000681184143;0.029470259507933482;0.019906400340507946;0.0;0.0;0.025774945845820223;0.0;0.0;;0.0;0.005221287238115801;0.0;0.008358843518482852;0.010495818090373716;0.07441748457055192;0.004431519358215334;0.0;0.0;0.0035588191975738257;0.0;0.07542159103130118;0.025376747425269602;0.016517336194479693;0.005490184646697378;0.0;0.0;0.0;0.0;0.006491278734876476;0.0;;;0.001199925456489768;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2003;6;0.011965167608788317;0.009996618227247383;0.03271366335468636;0.00922023191141867;0.0027645797143149523;0.003655180868346883;;0.0;0.0;0.0;0.0025437429501510888;0.004958558854980536;0.05638787873192986;0.016716851879601636;0.005415935749977491;0.0023001353016122404;0.021259157787671755;0.01731183182681444;0.04908934124839742;0.011669953134318033;0.011615648716101218;0.0;0.005958988456648799;0.0065731037307731974;0.014406310543033676;0.011997585377543099;0.0;0.0020450031968696283;0.010869796409180602;0.006171053218150528;0.003302141845176604;0.009676819235392792;0.010650791826427156;0.027111228820408326;0.0192534328800344;0.027054733739150814;0.005274766139630758;;;0.041356637768812606;;0.005197294138001467;0.0;0.00845040846008836;0.03912851615639964;0.004253374101054947;0.004023383733467141;0.011744035385815836;0.004151893200783041;0.0;0.002091717075101719;0.014106923206266992;0.010805970950863006;0.0;0.004858278769444294;;0.0063268728091058326;0.017507643754798918;0.005465981350809992;;;0.016015112864286304;0.0044962800278976695;0.0;0.003553368584120588;0.0;0.009762983508672498;0.0;0.005922879357135102;0.0;0.0;0.004014359068073408;0.0;0.003287025177999162;0.0;0.0;0.0;0.0043508862163805255;0.0655401808121775;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.008284963716140846;0.0;0.00389316080903927;0.10356204645176056;0.0;0.0;0.0;0.003952678206915812;0.006965463495181528;0.033592844566549755;0.028144748838145526;0.018374134627647032;0.0020301764244353036;0.0;0.0;0.0;0.017391976361315124;0.007161033243654402;0.0;;;0.0013346584924814268;0.015565186696932872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001823480389749149;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02158120791771615
2003;7;0.03572164682777513;0.019896148209859923;0.032554829202146945;0.0;0.0027511664814610587;0.007274874721388795;;0.0;0.0;0.004229411528664202;0.0;0.0024672519721695815;0.0280569553764173;0.03327159025357295;0.010779288821859202;0.009155899028990472;0.028208027471432667;0.01722789659768275;0.0692061300898896;0.02322670185783624;0.01444913922197729;0.0;0.005930107895402515;0.0109020657796587;0.02150454285753605;0.0059696784032802945;0.0;0.006105236594751772;0.006181193465100568;0.0017546067395999754;0.004156359552883111;0.006018679505939093;0.007066078623615742;0.03057695688636703;0.038320058537690174;0.04038504367073571;0.005249205286093529;;0.0;0.06331670105159655;;0.03617670515770977;0.0;0.0;0.006149947637117621;0.008470544801414365;0.003203071794567891;0.005006770183413763;0.008265825821533552;0.0;0.004164303326056649;0.019434726694925516;0.00403191915318255;0.0;0.004833916674997668;;0.003149481383795825;0.011607356631958832;0.0027192719441244324;;;0.017521220690797513;0.0011182905306052588;0.0;0.001767545662137632;0.0;0.0;0.0;0.002947455513221138;0.0;0.0;0.003984796243787736;0.0;0.00980885587778659;0.006180156358103457;0.0;0.0;0.001443408565571135;0.016294973610528268;0.0;0.0;0.0;0.0;0.013753388248431888;0.0;;0.0;0.0014465340704115132;0.008247509227361557;0.0;0.011622701758239045;0.041241844948590164;0.0;0.0;0.0;0.0;0.020789482592611267;0.033448705341818055;0.013970865116677908;0.05483492839275973;0.004031630018724064;0.0;0.0;0.0;0.0;0.0;0.020834492004894862;;;0.0026552827526923214;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0029286187560754497;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2003;8;0.014265226852900971;0.023836052932709916;0.02785861438554888;0.0;0.003295991767763952;0.0;;0.0;0.0;0.0;0.0;0.0;0.05041995302699136;0.013286769634480484;0.006456964842714775;0.00548452488072909;0.021966128427063067;0.01876320356466231;0.01950841489453852;0.023188472038315852;0.03462114671850944;0.0;0.0047362921139400245;0.015673206943251188;0.01717544334027454;0.014303708523113879;0.00284163022609864;0.008533322743220028;0.009256561501466039;0.011561410373900948;0.009129006304984642;0.014421140189283338;0.012698088182077441;0.030167794041451895;0.035706794120956516;0.032255121455600166;0.0;;0.0;0.07964854120491696;;0.03711687981673938;0.0;0.0;0.03193690593619804;0.0076156886578022925;0.005756016486277871;0.012417464047258953;0.0;0.005513108008453543;0.0012476189189760028;0.018106014466150292;0.011268834104905636;0.022647053634888645;0.008685167110991723;;0.005662414341520559;0.006947502264744466;0.006514267455570097;;;0.013349307830883592;0.0;0.005535809377901886;0.0;0.0;0.0058213425057621355;0.0;0.0035316359671074093;0.0;0.0;0.004756347283239763;0.0;0.003915139032621284;0.0049374681074899115;0.0;0.0;0.0051883115164134035;0.020308503087472778;0.0;0.0;0.0;0.0;0.0;0.0;;0.021807802477520198;0.0034672611459340484;0.0;0.0;0.01856570474935857;0.04943186078662453;0.0;0.0;0.026810132396991572;0.004696271513835437;0.008299677572818893;0.0;0.016682069718704923;0.0;0.0048150722568882694;0.0;0.0;0.0025440096665504627;0.0;0.0;0.0;;;0.0015898307455658545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003508182869315637;0.0;0.0;0.002211696311245442;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025732102597811845
2003;9;0.0;0.050621977221070855;0.011833014294977285;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0015693851663241638;0.023795781999589944;0.01410899038487477;0.006856558095667055;0.002911985752428119;0.019737013763362784;0.013947095927608752;0.02589481044317353;0.004924726425818541;0.025734448965179995;0.0;0.012573467498494235;0.005547711487048761;0.009119192627241797;0.011391661348073148;0.012069899736198165;0.007766913252808058;0.00393177210175749;0.011160814639487772;0.006168881235289196;0.006125441615706825;0.020225890010304677;0.0777986124301973;0.024374960852539408;0.03425133422033979;0.0;;0.0;0.06443982203293536;;0.019689498802352264;0.005052554473989978;0.03203547700272063;0.020876039027982202;0.0026973279625100914;0.002037386062831981;0.0068242327104308925;0.0;0.0;0.0026504497105100154;0.02334222164081405;0.0;0.008014766207428728;0.003073648718569967;;0.005013038111804817;0.0;0.0;;;0.018213787946248568;0.0;0.0;0.008988571837354336;0.0;0.024729967552463705;0.0;0.007501428262814921;0.0;0.0;0.010064186681878253;0.0;0.0;0.0;0.0;0.0;0.005509991515125285;0.011217263248143455;0.028031372367872953;0.0;0.0;0.0;0.0;0.0;;0.0;0.00552477998512487;0.010500002428803898;0.0;0.014785738663137368;0.0;0.003111968361514339;0.03149417435679358;0.0;0.0;0.0;0.02130131527861095;0.0176553234813416;0.023235020743452066;0.022937336728532588;0.007744742408254232;0.006462633298834203;0.002695180114880375;0.0;0.0;0.0;;;0.0033748863739754323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0023898094934883046;;;0.0;0.0;0.0;0.0;0.05301550028196194;0.0;0.0;0.019326214628949394;0.0;0.0;0.0;0.0;0.0
2003;10;0.03292065356182377;0.036671324678145815;0.05571823583792493;0.0;0.005070874203869032;0.0;;0.0;0.0049818555539337004;0.0;0.0;0.0022737920573396965;0.047404521350105706;0.00511040358091099;0.009934056309737023;0.006328457643868799;0.015597665507673723;0.023093794849972774;0.03751727055160237;0.007135100506120052;0.023969058317632026;0.0;0.009108498045988784;0.00401886895301991;0.006606136467352799;0.008252336725114544;0.0021859256763257584;0.005626515117115044;0.012817116913299722;0.014553177265731446;0.006384084693983198;0.009984135369150193;0.01627997551675927;0.03480986732237736;0.029429399499681933;0.03721827062554443;0.0024187960269179878;;0.0;0.046681707226686554;;0.014250870982693833;0.0;0.023192390262944486;0.01890936034111217;0.0;0.005903636150240563;0.010234116885386517;0.003812269655424981;0.008489309041327405;0.0;0.02585698557361599;0.002475818057411406;0.0;0.0022262160994768873;;0.005086525776603183;0.0026679834254728814;0.0;;;0.005860411028048195;0.0020591732028732725;0.0;0.004882034484065201;0.0;0.017917466541541596;0.002362243444061812;0.0;0.0;0.0;0.0036319081943698406;0.003632951661628655;0.0;0.0;0.0;0.0;0.0;0.01690669513374199;0.0;0.0;0.0;0.0;0.0126512330615595;0.0;;0.0;0.004003729635197;0.007609128001729968;0.0;0.007140679464629665;0.05709092270851124;0.002252573404754623;0.0;0.020604637350886607;0.007197582914361485;0.019142217966273464;0.0;0.050987530020277096;0.016825363028185606;0.007362103009528162;0.0;0.009343306389221932;0.0019479061119252682;0.0;0.0063770263518717245;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008877932425219991;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.01359442580097365;0.0;0.0;0.0;0.0;0.006531460457142934;0.0;0.0;0.0;0.0
