CISP;ano;mes;roubo_carga;LAT;LONG;Nome das CISP’s;mes/ano
CISP4 (Praça da República);2008;5;0.002363836058700385;-22.903061;-43.186131;Praça da República;5/2008
CISP4 (Praça da República);2008;6;0.002362313115648038;-22.903061;-43.186131;Praça da República;6/2008
CISP4 (Praça da República);2008;7;0.0;-22.903061;-43.186131;Praça da República;7/2008
CISP4 (Praça da República);2008;8;0.007078274770669739;-22.903061;-43.186131;Praça da República;8/2008
CISP4 (Praça da República);2008;9;0.0;-22.903061;-43.186131;Praça da República;9/2008
CISP4 (Praça da República);2008;10;0.007069177023462811;-22.903061;-43.186131;Praça da República;10/2008
CISP4 (Praça da República);2008;11;0.0023548789714223062;-22.903061;-43.186131;Praça da República;11/2008
CISP4 (Praça da República);2008;12;0.004706886139220928;-22.903061;-43.186131;Praça da República;12/2008
CISP4 (Praça da República);2009;1;0.007055800453726303;-22.903061;-43.186131;Praça da República;1/2009
CISP4 (Praça da República);2009;2;0.0;-22.903061;-43.186131;Praça da República;2/2009
CISP4 (Praça da República);2009;3;0.0;-22.903061;-43.186131;Praça da República;3/2009
CISP4 (Praça da República);2009;4;0.007042248980383679;-22.903061;-43.186131;Praça da República;4/2009
CISP4 (Praça da República);2009;5;0.002345914460942484;-22.903061;-43.186131;Praça da República;5/2009
CISP4 (Praça da República);2009;6;0.004688978934688579;-22.903061;-43.186131;Praça da República;6/2009
CISP4 (Praça da República);2009;7;0.0023429913431439356;-22.903061;-43.186131;Praça da República;7/2009
CISP4 (Praça da República);2009;8;0.00702493400220922;-22.903061;-43.186131;Praça da República;8/2009
CISP4 (Praça da República);2009;9;0.0046805990776487665;-22.903061;-43.186131;Praça da República;9/2009
CISP4 (Praça da República);2009;10;0.0;-22.903061;-43.186131;Praça da República;10/2009
CISP4 (Praça da República);2009;11;0.002337539399753348;-22.903061;-43.186131;Praça da República;11/2009
CISP4 (Praça da República);2009;12;0.002336198982130043;-22.903061;-43.186131;Praça da República;12/2009
CISP4 (Praça da República);2010;1;0.007004357290814293;-22.903061;-43.186131;Praça da República;1/2010
CISP4 (Praça da República);2010;2;0.004666897002517711;-22.903061;-43.186131;Praça da República;2/2010
CISP4 (Praça da República);2010;3;0.004664077214848442;-22.903061;-43.186131;Praça da República;3/2010
CISP4 (Praça da República);2010;4;0.0;-22.903061;-43.186131;Praça da República;4/2010
CISP4 (Praça da República);2010;5;0.004658595816730429;-22.903061;-43.186131;Praça da República;5/2010
CISP4 (Praça da República);2010;6;0.0023279669232425014;-22.903061;-43.186131;Praça da República;6/2010
CISP4 (Praça da República);2010;7;0.0;-22.903061;-43.186131;Praça da República;7/2010
CISP4 (Praça da República);2010;8;0.004650619022041541;-22.903061;-43.186131;Praça da República;8/2010
CISP4 (Praça da República);2010;9;0.0;-22.903061;-43.186131;Praça da República;9/2010
CISP4 (Praça da República);2010;10;0.004644727874659534;-22.903061;-43.186131;Praça da República;10/2010
CISP4 (Praça da República);2010;11;0.004641787894360987;-22.903061;-43.186131;Praça da República;11/2010
CISP4 (Praça da República);2010;12;0.0;-22.903061;-43.186131;Praça da República;12/2010
CISP4 (Praça da República);2011;1;0.0;-22.903061;-43.186131;Praça da República;1/2011
