CISP;mes;ano;pop
31;7;2003;150116
31;8;2003;150211
31;9;2003;150307
31;10;2003;150402
31;11;2003;150498
31;12;2003;150594
32;1;2003;348601
32;2;2003;348823
32;3;2003;349044
32;4;2003;349266
32;5;2003;349488
32;6;2003;349710
32;7;2003;349924
32;8;2003;350146
32;9;2003;350369
32;10;2003;350591
32;11;2003;350814
32;12;2003;351037
33;1;2003;229545
33;2;2003;229691
33;3;2003;229837
33;4;2003;229983
33;5;2003;230130
33;6;2003;230276
33;7;2003;230416
33;8;2003;230563
33;9;2003;230709
33;10;2003;230856
33;11;2003;231003
33;12;2003;231150
34;1;2003;404325
34;2;2003;404582
34;3;2003;404840
34;4;2003;405097
34;5;2003;405354
34;6;2003;405612
34;7;2003;405859
34;8;2003;406117
34;9;2003;406375
34;10;2003;406634
34;11;2003;406892
34;12;2003;407151
35;1;2003;598847
35;2;2003;586897
35;3;2003;575185
35;4;2003;563708
35;5;2003;552459
35;6;2003;541435
35;7;2003;514000
35;8;2003;514326
35;9;2003;514653
35;10;2003;514980
35;11;2003;515308
35;12;2003;515635
36;1;2003;294679
36;2;2003;294866
36;3;2003;295054
36;4;2003;295241
36;5;2003;295429
36;6;2003;295617
36;7;2003;295797
36;8;2003;295985
36;9;2003;296173
36;10;2003;296361
36;11;2003;296550
36;12;2003;296738
37;1;2003;200799
37;2;2003;200927
37;3;2003;201055
37;4;2003;201182
37;5;2003;201310
37;6;2003;201438
37;7;2003;201561
37;8;2003;201689
37;9;2003;201817
37;10;2003;201946
37;11;2003;202074
37;12;2003;202202
38;1;2003;197212
38;2;2003;197338
38;3;2003;197463
38;4;2003;197589
38;5;2003;197714
38;6;2003;197840
38;7;2003;197961
38;8;2003;198086
38;9;2003;198212
38;10;2003;198338
38;11;2003;198465
38;12;2003;198591
39;1;2003;166619
39;2;2003;166725
39;3;2003;166831
39;4;2003;166937
39;5;2003;167044
39;6;2003;167150
39;7;2003;167252
39;8;2003;167358
39;9;2003;167464
39;10;2003;167571
39;11;2003;167677
39;12;2003;167784
40;1;2003;105400
40;2;2003;105467
40;3;2003;105534
40;4;2003;105601
40;5;2003;105668
40;6;2003;105735
40;7;2003;105800
40;8;2003;105867
40;9;2003;105934
40;10;2003;106002
40;11;2003;106069
40;12;2003;106136
41;1;2003;135151
41;2;2003;135237
41;3;2003;135323
41;4;2003;135409
41;5;2003;135495
41;6;2003;135581
41;7;2003;135663
41;8;2003;135750
41;9;2003;135836
41;10;2003;135922
41;11;2003;136009
41;12;2003;136095
43;7;2003;166988
43;8;2003;167094
43;9;2003;167200
43;10;2003;167307
43;11;2003;167413
43;12;2003;167519
44;1;2003;112045
44;2;2003;112116
44;3;2003;112187
44;4;2003;112259
44;5;2003;112330
44;6;2003;112401
44;7;2003;112470
44;8;2003;112541
44;9;2003;112613
44;10;2003;112684
44;11;2003;112756
44;12;2003;112828
48;1;2003;68281
48;2;2003;68385
48;3;2003;68489
48;4;2003;68593
48;5;2003;68697
48;6;2003;68801
48;7;2003;68896
48;8;2003;69000
48;9;2003;69105
48;10;2003;69210
48;11;2003;69315
48;12;2003;69421
50;1;2003;88085
50;2;2003;88297
50;3;2003;88510
50;4;2003;88724
50;5;2003;88938
50;6;2003;89153
50;7;2003;89334
50;8;2003;89550
50;9;2003;89766
50;10;2003;89982
50;11;2003;90199
50;12;2003;90417
51;1;2003;42046
51;2;2003;42100
51;3;2003;42153
51;4;2003;42207
51;5;2003;42261
51;6;2003;42315
51;7;2003;42365
51;8;2003;42419
51;9;2003;42473
51;10;2003;42527
51;11;2003;42581
51;12;2003;42636
52;1;2003;173342
52;2;2003;173400
52;3;2003;173458
52;4;2003;173516
52;5;2003;173574
52;6;2003;173633
52;7;2003;173690
52;8;2003;173748
52;9;2003;173806
52;10;2003;173865
52;11;2003;173923
52;12;2003;173981
53;1;2003;168125
53;2;2003;168127
53;3;2003;168130
53;4;2003;168133
53;5;2003;168136
53;6;2003;168139
53;7;2003;168141
53;8;2003;168144
53;9;2003;168147
53;10;2003;168150
53;11;2003;168153
53;12;2003;168155
54;1;2003;442944
54;2;2003;443230
54;3;2003;443516
54;4;2003;443802
54;5;2003;444089
54;6;2003;444376
54;7;2003;444650
54;8;2003;444937
54;9;2003;445225
54;10;2003;445512
54;11;2003;445800
54;12;2003;446088
55;1;2003;211988
55;2;2003;212216
55;3;2003;212445
55;4;2003;212675
55;5;2003;212904
55;6;2003;213134
55;7;2003;213348
55;8;2003;206247
55;9;2003;199384
55;10;2003;192748
